"idLith","nombre","notacionEN"
"1","ARCILITA LIMOSA",
"2","ARENISCA ARCILLOSA",
"3","ARCILITA",
"4","LIMOLITA",
"5","ARENISCA CALCAREA",
"6","CALIZA",
"7","CARBON",
"8","ARCILITA TOBACEA",
"9","ARENISCA CONGLOMERADICA",
"10","ARCILITA CALCAREA",
"11","ARENISCA",
"12","ARENISCA TOBACEA",
"13","TOBA",
"14","LIMOARCILITA",
"15","ARCILITA CARBONOSA",
"16","VAQUE",
"17","TOBA ARENOSA",
"18","TOBA ARCILLOSA",
"19","CONGLOMERADO",
"20","YESO",
"21","DOLOMITA",
"22","CALIZA ARENOSA",
"23","ROCA IGNEA",
"24","LIMOARCILITA TOBACEA",
"25","TOBA FINA",
"26","TOBA GRUESA",
"27","FANGOLITA",
"28","CALIZA OOLITICA",
"29","ARCILLOLITA",
"30","ARENISCA LITICA",
"31","ARCILLOLITA TOBACEA",
"32","LIMOARCILLOLITA TOBACEA",
"33","LIMOARCILLOLITA",
"34","ARCILLOLITA CARBONOSA",
"35","ARCILLOLITA CALCAREA",
"36","arenisca glauconitica",
"37","VOLCANICLASTICA",
"38","CALIZA ARCILLOSA",
"39","MARGA",
"40","ARCILITA ARENOSA",
"41","CALIZA DOLOMITICA",
"42","YESO/ANHIDRITA",
"43","LIMOARCILITA ROJIZA",
"44","LIMOARCILITA VERDE",
"45","LIMOARCILITA TOBACEA VERDE",
"46","LIMOARCILITA TOBACEA ROJIZA",
"47","LIMOARCILITA GRIS",
"48","ARCILITA GRIS",
"49","CALIZA (PACKSTONE)",
"50","IG. COMP BLANDA (10YR 5/4)",
"51","IG. COMP BLANDA (10YR 6/6)",
"52","IG. COMP BLANDA (5R 2/2)",
"53","IG. COMP BLANDA (5YR 5/6)",
"54","IG. COMP BLANDA (10YR 8/6)",
"55","IG. COMP BLANDA (5YR 6/4)",
"56","IG. COMP BLANDA (5YR 4/4)",
"57","CALIZA (WACKESTONE)",
"58","CALIZA (GRAINSTONE)",
"59","IG. COMP BLANDA (10R 4/6)",
"60","Arenisca Limosa",
"61","Limoarcilita Calcarea",
"62","Brecha",
"63","VULCANITA",
"64","0.0",
"65","AR",
"66","BASALTO VESICULAR",
"67","LIMOARCILLOLI",
"68","ARE",
"69","LIMOARCILLOL",
"70","ARCILLOLITA CA",
"71","LIMOARCILLO",
"72","ARENISCA CONGL",
"73","ARCILLOLITA CALCA",
"74","LI",
"75","ARCI",
"76","?",
"77","ARCILLOLIT",
"78","ARENISC",
"79","L",
"80","LIMOARC",
"81","LIMOARCILL",
"82","CALI",
"83","ARENISCA A",
"84","ARCILLOL",
"85","ARCILLOLITA ",
"86","ARENI",
"87","AREN",
"88","ARENIS",
"89","A",
"90","LIMOARCI",
"91","LIMO",
"92","ARCILLOLITA BLQ",
"93","LIMOLITA ARCILLOSA",
"95","COAL",
"96","GYPSUM",
"97","HALITE LIMESTONE MUDSTONE",
"98","DOLOMITIC LIMESTONE",
"99","LIMESTONE MUDSTONE",
"100","LIMESTONE GRAINSTONE",
"101","OOLITIC LIMESTONE",
"102","CRYSTALLINE LIMEST",
"103","CONGLOMERATE",
"104","CONGLOMERATE SANDSTONE",
"105","SANDSTONE",
"106","CALCAREOUS SANDSTONE",
"107","ARGILLACEOUS SANDSTONE",
"108","SILTSTONE",
"109","CALCAREOUS SILTSTONE",
"110","SHALE",
"111","SILTY CLAYSTONE",
"112","CLAYSTONE",
"113","CALCAREOUS CLAYST",
"114","MARLY CALCAREOUS CLAYST",
"115","COARSE TUFF",
"116","FINE TUFF",
"117","VULCANITE",
"118","VOLCANIC BRECHIA",
"119","GYPSUM/ANHIDRITE",
"120","CALCAREOUS CLAYSTONE",
"121","SANDY SILTSTONE",
"122","SANDY CLAYSTONE",
"123","MUDSTONE",
"124","MUDSTONE",
"125","GYPSUM/AN",
"127","HALITE",
"128","GYPS",
"129","ARCILLOLITA LIMOSA",
"130","GYPSUM/ANHIDRITE",
"131","MARLY",
